dt,user_id,type,api_count
2021-08-13,0,gnql,144
2021-08-13,1,gnql,2
2021-08-13,1,riot,1
2021-08-13,2,analysis,1
2021-08-13,2,gnql,4
2021-08-13,3,gnql,1
2021-08-13,4,context,200125
2021-08-13,5,gnql,7
2021-08-13,6,context,1986
2021-08-13,7,gnql,1
2021-08-13,8,riot,1
2021-08-13,9,context,1
2021-08-13,9,riot,1
2021-08-13,10,gnql,6
2021-08-13,10,riot,2
2021-08-13,11,gnql,1
2021-08-13,12,gnql,2
2021-08-13,13,gnql,3
2021-08-13,13,riot,1
2021-08-13,14,context,206
2021-08-13,14,gnql,59
2021-08-13,14,noise_quick,323
2021-08-13,14,riot,417
2021-08-13,15,gnql,5
2021-08-13,15,riot,2
2021-08-13,16,gnql,5
2021-08-13,16,riot,2
2021-08-13,17,gnql,2
2021-08-13,18,context,22834
2021-08-13,18,riot,22176
2021-08-13,19,gnql,261
2021-08-13,19,riot,84
2021-08-13,20,gnql,4
2021-08-13,20,riot,2
2021-08-13,21,context,61464
2021-08-13,21,gnql,568
2021-08-13,21,noise_quick,311980
2021-08-13,21,riot,73341
2021-08-13,22,gnql,6
2021-08-13,22,riot,2
2021-08-13,23,gnql,11
2021-08-13,23,riot,3
2021-08-13,24,context,1
2021-08-13,24,gnql,74
2021-08-13,24,noise_quick,1221
2021-08-13,24,riot,21
2021-08-14,0,gnql,144
2021-08-14,25,gnql,2
2021-08-14,4,context,89450
2021-08-14,6,context,193
2021-08-14,7,gnql,10
2021-08-14,7,riot,7
2021-08-14,8,gnql,6
2021-08-14,8,riot,1
2021-08-14,26,gnql,2
2021-08-14,26,riot,1
2021-08-14,10,gnql,10
2021-08-14,10,riot,5
2021-08-14,27,gnql,24
2021-08-14,27,riot,8
2021-08-14,14,gnql,36
2021-08-14,14,noise_quick,3
2021-08-14,28,gnql,2
2021-08-14,28,riot,1
2021-08-14,18,context,3867
2021-08-14,18,riot,3867
2021-08-14,19,gnql,44
2021-08-14,19,riot,13
2021-08-14,21,gnql,319
2021-08-14,24,gnql,12
2021-08-15,0,gnql,144
2021-08-15,4,context,74314
2021-08-15,6,context,187
2021-08-15,29,gnql,9
2021-08-15,29,riot,3
2021-08-15,30,gnql,6
2021-08-15,30,riot,8
2021-08-15,27,gnql,8
2021-08-15,27,riot,3
2021-08-15,14,context,202
2021-08-15,14,gnql,36
2021-08-15,14,noise_quick,3
2021-08-15,14,riot,103
2021-08-15,31,gnql,6
2021-08-15,31,riot,2
2021-08-15,17,gnql,3
2021-08-15,17,riot,1
2021-08-15,18,context,6432
2021-08-15,18,riot,6274
2021-08-15,19,gnql,143
2021-08-15,19,riot,50
2021-08-15,21,gnql,305
2021-08-15,24,gnql,12
2021-08-16,0,gnql,144
2021-08-16,25,analysis,202
2021-08-16,4,context,200193
2021-08-16,32,context,2
2021-08-16,33,gnql,1
2021-08-16,6,context,299
2021-08-16,34,gnql,8
2021-08-16,34,riot,2
2021-08-16,35,gnql,10
2021-08-16,35,riot,4
2021-08-16,10,gnql,4
2021-08-16,10,riot,1
2021-08-16,11,gnql,5
2021-08-16,29,gnql,14
2021-08-16,29,riot,4
2021-08-16,30,gnql,10
2021-08-16,36,gnql,13
2021-08-16,36,riot,5
2021-08-16,37,gnql,3
2021-08-16,38,context,1
2021-08-16,38,noise_quick,1
2021-08-16,38,riot,1
2021-08-16,14,context,105
2021-08-16,14,gnql,30
2021-08-16,14,noise_quick,137
2021-08-16,14,riot,5
2021-08-16,31,gnql,8
2021-08-16,31,riot,3
2021-08-16,39,gnql,3
2021-08-16,39,riot,1
2021-08-16,15,gnql,10
2021-08-16,15,riot,2
2021-08-16,40,gnql,6
2021-08-16,40,riot,2
2021-08-16,41,context,3
2021-08-16,41,riot,2
2021-08-16,16,gnql,8
2021-08-16,16,riot,2
2021-08-16,18,context,3064
2021-08-16,18,riot,3079
2021-08-16,42,context,1
2021-08-16,21,context,229866
2021-08-16,21,gnql,1432
2021-08-16,21,riot,87813
2021-08-16,43,context,1
2021-08-16,43,riot,1
