,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
0,0,gnql,0.7435897435897437,0.7435897435897436,0.7435897435897437,0.55653125771458,9.332305822533284e-06,0.9532342657342654,0.12210180581356343,-1
1,1,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
4,2,gnql,0.025641025641025644,0.1452991452991453,0.0,0.2204191300843736,4.127750652274337e-06,0.2826086956521739,0.4153255037944087,1
6,3,gnql,0.008547008547008548,0.05982905982905984,0.0,0.1147548783282022,8.97337098320508e-07,0.5,0.5,1
10,5,gnql,0.07692307692307693,0.623931623931624,0.0,0.2985530844381533,1.561366551077684e-05,0.14712643678160917,0.28899761158285464,-1
15,6,gnql,0.10256410256410257,0.9059829059829061,0.001554001554001554,0.21604880942399843,1.4357393573128129e-06,0.125,0.2773500981126146,-1
17,7,gnql,0.12820512820512822,0.3247863247863248,0.008547008547008548,0.24046193164738397,1.794674196641016e-06,0.26875,0.30967472854593736,-1
19,8,gnql,0.025641025641025644,0.6837606837606838,0.0,0.17364046174644632,5.384022589923049e-07,0.5833333333333333,0.3632415786283894,-1
22,9,gnql,0.017094017094017096,0.8547008547008548,0.0,0.1147548783282022,1.794674196641016e-07,0.3333333333333333,0.4714045207910317,-1
24,10,gnql,0.1965811965811966,0.5982905982905984,0.004273504273504274,0.2905716882184412,4.845620330930743e-06,0.1759259259259259,0.20236654281216673,-1
26,11,gnql,0.10256410256410257,0.36752136752136755,0.001554001554001554,0.18741727658859586,7.178696786564064e-07,0.21153846153846154,0.3076923076923077,-1
28,12,gnql,0.051282051282051294,0.1623931623931624,0.011396011396011398,0.22578394887848208,2.5125438752974226e-06,0.32653061224489793,0.3578709778928609,1
29,13,gnql,0.05982905982905984,0.20512820512820515,0.0028490028490028487,0.18228601192847693,8.97337098320508e-07,0.35,0.3122498999199199,1
32,14,gnql,0.2136752136752137,0.46153846153846156,0.10256410256410257,0.40724844226359985,5.5275965256543296e-05,0.11488511488511491,0.19809099720484424,-1
35,15,gnql,0.5982905982905984,1.0,0.021794871794871797,0.4516792714288807,2.7099580369279344e-05,0.18449771476541366,0.22766543214256216,-1
37,16,gnql,0.06837606837606838,0.4786324786324787,0.001068376068376068,0.2204191300843736,1.794674196641016e-06,0.26666666666666666,0.32998316455372223,-1
40,17,gnql,0.017094017094017096,0.47008547008547014,0.0,0.14654076417238365,8.97337098320508e-07,0.39999999999999997,0.43204937989385733,-1
44,19,gnql,0.17948717948717952,0.9145299145299146,0.007122507122507123,0.4035290570188464,4.6482061693002317e-05,0.15672165672165675,0.24152018907990927,-1
46,20,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
49,21,gnql,0.2136752136752137,0.2136752136752137,0.2136752136752137,0.5581676163154898,0.00020602859777438864,0.18476949879388904,0.2517194753424796,-1
52,22,gnql,0.017094017094017096,0.05128205128205129,0.0,0.20251026699388197,4.127750652274337e-06,0.4057971014492754,0.4294357214501175,1
54,23,gnql,0.05982905982905984,0.7094017094017094,0.005128205128205129,0.2204191300843736,1.794674196641016e-06,0.32499999999999996,0.39607448794387146,-1
57,24,gnql,0.09401709401709403,0.09401709401709403,0.09401709401709403,0.31245418244906736,1.220378453715891e-05,0.15686274509803919,0.2553728681888452,-1
61,25,gnql,0.15384615384615385,0.9914529914529916,0.003052503052503054,0.3288267761008606,1.7049404868089652e-05,0.12520775623268698,0.2292732036606228,-1
63,26,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
65,27,gnql,0.15384615384615385,0.8974358974358976,0.004985754985754985,0.29389495285144673,4.307218071938439e-06,0.27850877192982465,0.30530537618926856,-1
67,28,gnql,0.12820512820512822,0.4017094017094017,0.003885003885003886,0.23738441557683895,1.2562719376487113e-06,0.3571428571428571,0.28571428571428575,-1
69,29,gnql,0.20512820512820515,0.8461538461538463,0.005698005698005699,0.31780617977519365,4.48668549160254e-06,0.2704,0.2882843041166133,-1
71,30,gnql,0.10256410256410257,0.15384615384615385,0.019230769230769232,0.24525907449727344,1.6152067769769145e-06,0.43589743589743585,0.3186555877317478,1
73,31,gnql,0.18803418803418806,0.3931623931623932,0.01111111111111111,0.296656704261094,2.333076455633321e-06,0.35785953177257523,0.2641505363742893,-1
77,33,gnql,0.008547008547008548,0.017094017094017096,0.0,0.15563139074441446,2.1536090359692194e-06,0.5,0.5,1
