,dt,user_id,type,api_count,cluster_label
0,2021-08-13,0,gnql,144,-1
1,2021-08-13,1,gnql,2,0
2,2021-08-13,1,riot,1,0
3,2021-08-13,2,analysis,1,0
4,2021-08-13,2,gnql,4,1
5,2021-08-13,3,gnql,1,1
6,2021-08-13,4,context,200125,-1
7,2021-08-13,5,gnql,7,-1
8,2021-08-13,6,context,1986,-1
9,2021-08-13,7,gnql,1,-1
10,2021-08-13,8,riot,1,0
11,2021-08-13,9,context,1,-1
12,2021-08-13,9,riot,1,-1
13,2021-08-13,10,gnql,6,-1
14,2021-08-13,10,riot,2,-1
15,2021-08-13,11,gnql,1,-1
16,2021-08-13,12,gnql,2,1
17,2021-08-13,13,gnql,3,1
18,2021-08-13,13,riot,1,-1
19,2021-08-13,14,context,206,-1
20,2021-08-13,14,gnql,59,-1
21,2021-08-13,14,noise_quick,323,-1
22,2021-08-13,14,riot,417,-1
23,2021-08-13,15,gnql,5,-1
24,2021-08-13,15,riot,2,-1
25,2021-08-13,16,gnql,5,-1
26,2021-08-13,16,riot,2,-1
27,2021-08-13,17,gnql,2,-1
28,2021-08-13,18,context,22834,-1
29,2021-08-13,18,riot,22176,-1
30,2021-08-13,19,gnql,261,-1
31,2021-08-13,19,riot,84,-1
32,2021-08-13,20,gnql,4,0
33,2021-08-13,20,riot,2,0
34,2021-08-13,21,context,61464,-1
35,2021-08-13,21,gnql,568,-1
36,2021-08-13,21,noise_quick,311980,-1
37,2021-08-13,21,riot,73341,-1
38,2021-08-13,22,gnql,6,1
39,2021-08-13,22,riot,2,-1
40,2021-08-13,23,gnql,11,-1
41,2021-08-13,23,riot,3,-1
42,2021-08-13,24,context,1,-1
43,2021-08-13,24,gnql,74,-1
44,2021-08-13,24,noise_quick,1221,-1
45,2021-08-13,24,riot,21,-1
46,2021-08-14,0,gnql,144,-1
47,2021-08-14,25,gnql,2,-1
48,2021-08-14,4,context,89450,-1
49,2021-08-14,6,context,193,-1
50,2021-08-14,7,gnql,10,-1
51,2021-08-14,7,riot,7,-1
52,2021-08-14,8,gnql,6,-1
53,2021-08-14,8,riot,1,0
54,2021-08-14,26,gnql,2,0
55,2021-08-14,26,riot,1,0
56,2021-08-14,10,gnql,10,-1
57,2021-08-14,10,riot,5,-1
58,2021-08-14,27,gnql,24,-1
59,2021-08-14,27,riot,8,-1
60,2021-08-14,14,gnql,36,-1
61,2021-08-14,14,noise_quick,3,-1
62,2021-08-14,28,gnql,2,-1
63,2021-08-14,28,riot,1,-1
64,2021-08-14,18,context,3867,-1
65,2021-08-14,18,riot,3867,-1
66,2021-08-14,19,gnql,44,-1
67,2021-08-14,19,riot,13,-1
68,2021-08-14,21,gnql,319,-1
69,2021-08-14,24,gnql,12,-1
70,2021-08-15,0,gnql,144,-1
71,2021-08-15,4,context,74314,-1
72,2021-08-15,6,context,187,-1
73,2021-08-15,29,gnql,9,-1
74,2021-08-15,29,riot,3,-1
75,2021-08-15,30,gnql,6,1
76,2021-08-15,30,riot,8,-1
77,2021-08-15,27,gnql,8,-1
78,2021-08-15,27,riot,3,-1
79,2021-08-15,14,context,202,-1
80,2021-08-15,14,gnql,36,-1
81,2021-08-15,14,noise_quick,3,-1
82,2021-08-15,14,riot,103,-1
83,2021-08-15,31,gnql,6,-1
84,2021-08-15,31,riot,2,-1
85,2021-08-15,17,gnql,3,-1
86,2021-08-15,17,riot,1,0
87,2021-08-15,18,context,6432,-1
88,2021-08-15,18,riot,6274,-1
89,2021-08-15,19,gnql,143,-1
90,2021-08-15,19,riot,50,-1
91,2021-08-15,21,gnql,305,-1
92,2021-08-15,24,gnql,12,-1
93,2021-08-16,0,gnql,144,-1
94,2021-08-16,25,analysis,202,-1
95,2021-08-16,4,context,200193,-1
96,2021-08-16,32,context,2,-1
97,2021-08-16,33,gnql,1,1
98,2021-08-16,6,context,299,-1
99,2021-08-16,34,gnql,8,-1
100,2021-08-16,34,riot,2,0
101,2021-08-16,35,gnql,10,0
102,2021-08-16,35,riot,4,0
103,2021-08-16,10,gnql,4,-1
104,2021-08-16,10,riot,1,-1
105,2021-08-16,11,gnql,5,-1
106,2021-08-16,29,gnql,14,-1
107,2021-08-16,29,riot,4,-1
108,2021-08-16,30,gnql,10,1
109,2021-08-16,36,gnql,13,0
110,2021-08-16,36,riot,5,0
111,2021-08-16,37,gnql,3,-1
112,2021-08-16,38,context,1,-1
113,2021-08-16,38,noise_quick,1,0
114,2021-08-16,38,riot,1,0
115,2021-08-16,14,context,105,-1
116,2021-08-16,14,gnql,30,-1
117,2021-08-16,14,noise_quick,137,-1
118,2021-08-16,14,riot,5,-1
119,2021-08-16,31,gnql,8,-1
120,2021-08-16,31,riot,3,-1
121,2021-08-16,39,gnql,3,-1
122,2021-08-16,39,riot,1,0
123,2021-08-16,15,gnql,10,-1
124,2021-08-16,15,riot,2,-1
125,2021-08-16,40,gnql,6,1
126,2021-08-16,40,riot,2,0
127,2021-08-16,41,context,3,0
128,2021-08-16,41,riot,2,0
129,2021-08-16,16,gnql,8,-1
130,2021-08-16,16,riot,2,-1
131,2021-08-16,18,context,3064,-1
132,2021-08-16,18,riot,3079,-1
133,2021-08-16,42,context,1,-1
134,2021-08-16,21,context,229866,-1
135,2021-08-16,21,gnql,1432,-1
136,2021-08-16,21,riot,87813,-1
137,2021-08-16,43,context,1,-1
138,2021-08-16,43,riot,1,-1
139,2021-08-16,22,gnql,1,1
140,2021-08-16,44,context,14,-1
141,2021-08-16,44,riot,13,-1
142,2021-08-16,24,context,3,-1
143,2021-08-16,24,gnql,12,-1
144,2021-08-16,24,noise_quick,43,-1
145,2021-08-16,24,riot,6,-1
146,2021-08-17,45,gnql,5,-1
147,2021-08-17,45,riot,1,-1
148,2021-08-17,0,gnql,144,-1
149,2021-08-17,46,context,2,-1
150,2021-08-17,46,riot,2,-1
151,2021-08-17,4,context,195395,-1
152,2021-08-17,5,gnql,7,-1
153,2021-08-17,5,riot,1,0
154,2021-08-17,6,context,283,-1
155,2021-08-17,7,gnql,3,-1
156,2021-08-17,47,gnql,5,-1
157,2021-08-17,47,riot,1,-1
158,2021-08-17,10,gnql,4,-1
159,2021-08-17,10,riot,1,-1
160,2021-08-17,48,gnql,9,-1
161,2021-08-17,49,gnql,5,-1
162,2021-08-17,49,riot,1,-1
163,2021-08-17,27,gnql,7,-1
164,2021-08-17,27,riot,2,-1
165,2021-08-17,37,gnql,79,-1
166,2021-08-17,13,gnql,6,1
167,2021-08-17,13,riot,2,-1
168,2021-08-17,14,context,11,-1
169,2021-08-17,14,gnql,29,-1
170,2021-08-17,14,noise_quick,18,-1
171,2021-08-17,14,riot,12,-1
172,2021-08-17,15,gnql,2,-1
173,2021-08-17,28,gnql,5,-1
174,2021-08-17,28,riot,2,-1
175,2021-08-17,16,riot,1,-1
176,2021-08-17,18,context,14332,-1
177,2021-08-17,18,riot,13897,-1
178,2021-08-17,50,gnql,2,-1
179,2021-08-17,50,riot,1,-1
180,2021-08-17,51,gnql,4,-1
181,2021-08-17,21,context,1,-1
